sample,page,detector_id,candidate_type,raw_confidence,x0,y0,x1,y1,width,height,center_x,center_y,has_text,text_word_count,text_char_length,text_uppercase_ratio,text_ends_colon,text_ends_question,text_ends_paren,text_ends_underscore,text_has_digit,font_size,attr_members,attr_checked,attr_filled,attr_aggregate,attr_rows,attr_cols,attr_row,attr_col,attr_caption,nearest_complementary_distance,same_page_candidate_count,row_band_count,row_band_same_type_count,matched_gold,matched_category,matched_gold_name,best_iou,best_coverage
cl01,1,underline-detector,UNDERLINE,0.95,371.45770263671875,406.087890625,545.4166870117188,418.087890625,173.958984375,12.0,458.43719482421875,412.087890625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,62.6,155,0,0,0,,,0.0,0.0
cl01,1,underline-detector,UNDERLINE,0.95,56.728912353515625,210.47610473632812,292.2499084472656,222.47610473632812,235.52099609375,12.0,174.48941040039062,216.47610473632812,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,42.98,155,4,1,1,VALUE,SIGNATURE OF THE PATIENT,0.5083,0.9147
cl01,1,underline-detector,UNDERLINE,0.95,317.0416259765625,210.47610473632812,552.5626220703125,222.47610473632812,235.52099609375,12.0,434.8021240234375,216.47610473632812,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,42.58,155,4,1,1,VALUE,NAME OF THE HEALER,0.5703,0.9147
cl01,1,underline-detector,UNDERLINE,0.95,446.2786865234375,140.3148956298828,545.4166870117188,152.3148956298828,99.13800048828125,12.0,495.8476867675781,146.3148956298828,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.38,155,0,0,0,,,0.0,0.0
cl01,1,underline-detector,UNDERLINE,0.95,446.2786865234375,94.91889953613281,545.4166870117188,106.91889953613281,99.13800048828125,12.0,495.8476867675781,100.91889953613281,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.19,155,0,0,0,,,0.0,0.0
cl01,3,underline-detector,UNDERLINE,0.95,119.05039978027344,661.2294311523438,185.26539611816406,673.2294311523438,66.21499633789062,12.0,152.15789794921875,667.2294311523438,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,10.99,181,3,2,0,,,0.0,0.0
cl01,3,underline-detector,UNDERLINE,0.95,119.05039978027344,651.2384033203125,185.26539611816406,663.2384033203125,66.21499633789062,12.0,152.15789794921875,657.2384033203125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,1.0,181,10,2,1,OPTION,DIET [NON-VEGETARIAN],0.8064,0.9657
cl01,4,underline-detector,UNDERLINE,0.95,347.08367919921875,755.2252197265625,545.4166870117188,767.2252197265625,198.3330078125,12.0,446.25018310546875,761.2252197265625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,54.36,432,1,1,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,148.7503204345703,755.2246704101562,347.08331298828125,767.2246704101562,198.33299255371094,12.0,247.91681671142578,761.2246704101562,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,54.82,432,1,1,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,730.4631958007812,545.4163208007812,742.4631958007812,495.8330192565918,12.0,297.49981117248535,736.4631958007812,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,1.37,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,705.7017211914062,545.4163208007812,717.7017211914062,495.8330192565918,12.0,297.49981117248535,711.7017211914062,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,26.13,432,11,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,680.940185546875,545.4163208007812,692.940185546875,495.8330192565918,12.0,297.49981117248535,686.940185546875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,50.89,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,656.1787719726562,545.4163208007812,668.1787719726562,495.8330192565918,12.0,297.49981117248535,662.1787719726562,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,75.65,432,7,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,631.4174194335938,545.4163208007812,643.4174194335938,495.8330192565918,12.0,297.49981117248535,637.4174194335938,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,100.41,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,606.6558837890625,545.4163208007812,618.6558837890625,495.8330192565918,12.0,297.49981117248535,612.6558837890625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,125.17,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,581.8944091796875,545.4163208007812,593.8944091796875,495.8330192565918,12.0,297.49981117248535,587.8944091796875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,149.94,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,557.1328735351562,545.4163208007812,569.1328735351562,495.8330192565918,12.0,297.49981117248535,563.1328735351562,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,174.7,432,5,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,532.3715209960938,545.4163208007812,544.3715209960938,495.8330192565918,12.0,297.49981117248535,538.3715209960938,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,199.46,432,5,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,507.6099853515625,545.4163208007812,519.6099853515625,495.8330192565918,12.0,297.49981117248535,513.6099853515625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,207.92,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,482.8485107421875,545.4163208007812,494.8485107421875,495.8330192565918,12.0,297.49981117248535,488.8485107421875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,213.08,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,458.08709716796875,545.4163208007812,470.08709716796875,495.8330192565918,12.0,297.49981117248535,464.08709716796875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,220.46,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,433.3255920410156,545.4163208007812,445.3255920410156,495.8330192565918,12.0,297.49981117248535,439.3255920410156,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,221.61,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,408.5640869140625,545.4163208007812,420.5640869140625,495.8330192565918,12.0,297.49981117248535,414.5640869140625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,220.97,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,383.8027038574219,545.4163208007812,395.8027038574219,495.8330192565918,12.0,297.49981117248535,389.8027038574219,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,219.18,432,61,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,359.04119873046875,545.4163208007812,371.04119873046875,495.8330192565918,12.0,297.49981117248535,365.04119873046875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,218.14,432,12,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,334.27978515625,545.4163208007812,346.27978515625,495.8330192565918,12.0,297.49981117248535,340.27978515625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,215.48,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,309.518310546875,545.4163208007812,321.518310546875,495.8330192565918,12.0,297.49981117248535,315.518310546875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,214.82,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,284.7568054199219,545.4163208007812,296.7568054199219,495.8330192565918,12.0,297.49981117248535,290.7568054199219,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,210.68,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,259.9953918457031,545.4163208007812,271.9953918457031,495.8330192565918,12.0,297.49981117248535,265.9953918457031,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,207.06,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,235.23390197753906,545.4163208007812,247.23390197753906,495.8330192565918,12.0,297.49981117248535,241.23390197753906,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,206.11,432,5,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,210.47239685058594,545.4163208007812,222.47239685058594,495.8330192565918,12.0,297.49981117248535,216.47239685058594,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,181.35,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,185.71099853515625,545.4163208007812,197.71099853515625,495.8330192565918,12.0,297.49981117248535,191.71099853515625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,156.59,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,160.94949340820312,545.4163208007812,172.94949340820312,495.8330192565918,12.0,297.49981117248535,166.94949340820312,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,131.82,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,136.18800354003906,545.4163208007812,148.18800354003906,495.8330192565918,12.0,297.49981117248535,142.18800354003906,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,107.06,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,111.42659759521484,545.4163208007812,123.42659759521484,495.8330192565918,12.0,297.49981117248535,117.42659759521484,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,82.3,432,6,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,86.66510009765625,545.4163208007812,98.66510009765625,495.8330192565918,12.0,297.49981117248535,92.66510009765625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,57.54,432,0,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,61.90359115600586,545.4163208007812,73.90359115600586,495.8330192565918,12.0,297.49981117248535,67.90359115600586,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,32.78,432,0,0,0,,,0.0,0.0
cl01,4,underline-detector,UNDERLINE,0.95,49.58330154418945,37.1422004699707,545.4163208007812,49.1422004699707,495.8330192565918,12.0,297.49981117248535,43.1422004699707,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,8.03,432,0,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,173.5417022705078,742.843505859375,266.5107116699219,754.843505859375,92.96900939941406,12.0,220.02620697021484,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,162,3,3,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,266.5104064941406,742.843505859375,359.4794006347656,754.843505859375,92.968994140625,12.0,312.9949035644531,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,162,3,3,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,359.47918701171875,742.843505859375,452.44818115234375,754.843505859375,92.968994140625,12.0,405.96368408203125,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,162,3,3,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,452.4479064941406,742.843505859375,545.4169311523438,754.843505859375,92.96902465820312,12.0,498.9324188232422,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,162,3,3,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,693.3209838867188,545.4161987304688,705.3209838867188,495.8329887390137,12.0,297.4997043609619,699.3209838867188,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,19.71,162,6,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,668.5595092773438,545.4161987304688,680.5595092773438,495.8329887390137,12.0,297.4997043609619,674.5595092773438,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,43.88,162,0,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,643.798095703125,545.4161987304688,655.798095703125,495.8329887390137,12.0,297.4997043609619,649.798095703125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,68.48,162,1,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,619.03662109375,545.4161987304688,631.03662109375,495.8329887390137,12.0,297.4997043609619,625.03662109375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,93.16,162,1,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,594.2750854492188,545.4161987304688,606.2750854492188,495.8329887390137,12.0,297.4997043609619,600.2750854492188,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,117.88,162,1,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,569.513671875,545.4161987304688,581.513671875,495.8329887390137,12.0,297.4997043609619,575.513671875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,142.61,162,2,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,544.752197265625,545.4161987304688,556.752197265625,495.8329887390137,12.0,297.4997043609619,550.752197265625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,167.35,162,1,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,519.99072265625,545.4161987304688,531.99072265625,495.8329887390137,12.0,297.4997043609619,525.99072265625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,156.55,162,1,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,495.22930908203125,545.4161987304688,507.22930908203125,495.8329887390137,12.0,297.4997043609619,501.22930908203125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,132.14,162,1,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,470.4678039550781,545.4161987304688,482.4678039550781,495.8329887390137,12.0,297.4997043609619,476.4678039550781,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,107.89,162,1,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.58320999145508,445.706298828125,545.4161987304688,457.706298828125,495.8329887390137,12.0,297.4997043609619,451.706298828125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,83.95,162,0,0,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.583499908447266,247.61459350585938,111.5625,259.6145935058594,61.979000091552734,12.0,80.57299995422363,253.61459350585938,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.69,162,1,1,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,111.5625,247.61410522460938,247.91650390625,259.6141052246094,136.35400390625,12.0,179.739501953125,253.61410522460938,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,53.93,162,1,1,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,272.70849609375,74.28439331054688,334.6875,86.28439331054688,61.97900390625,12.0,303.697998046875,80.28439331054688,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.69,162,3,3,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,49.583499908447266,74.28439331054688,111.5625,86.28439331054688,61.979000091552734,12.0,80.57299995422363,80.28439331054688,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.69,162,3,3,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,334.6875,74.28389739990234,545.41650390625,86.28389739990234,210.72900390625,12.0,440.052001953125,80.28389739990234,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,90.98,162,3,3,0,,,0.0,0.0
cl01,5,underline-detector,UNDERLINE,0.95,111.5625,74.28389739990234,247.91650390625,86.28389739990234,136.35400390625,12.0,179.739501953125,80.28389739990234,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,53.93,162,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,173.5417022705078,742.843505859375,266.5107116699219,754.843505859375,92.96900939941406,12.0,220.02620697021484,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,150,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,266.5104064941406,742.843505859375,359.4794006347656,754.843505859375,92.968994140625,12.0,312.9949035644531,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,150,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,359.47918701171875,742.843505859375,452.44818115234375,754.843505859375,92.968994140625,12.0,405.96368408203125,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,150,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,452.4479064941406,742.843505859375,545.4169311523438,754.843505859375,92.96902465820312,12.0,498.9324188232422,748.843505859375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,16.25,150,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,693.3209838867188,545.4161987304688,705.3209838867188,495.8329887390137,12.0,297.4997043609619,699.3209838867188,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,19.71,150,0,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,668.5595092773438,545.4161987304688,680.5595092773438,495.8329887390137,12.0,297.4997043609619,674.5595092773438,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,43.88,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,643.798095703125,545.4161987304688,655.798095703125,495.8329887390137,12.0,297.4997043609619,649.798095703125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,68.48,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,619.03662109375,545.4161987304688,631.03662109375,495.8329887390137,12.0,297.4997043609619,625.03662109375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,93.16,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,594.2750854492188,545.4161987304688,606.2750854492188,495.8329887390137,12.0,297.4997043609619,600.2750854492188,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,117.88,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,569.513671875,545.4161987304688,581.513671875,495.8329887390137,12.0,297.4997043609619,575.513671875,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,142.61,150,2,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,544.752197265625,545.4161987304688,556.752197265625,495.8329887390137,12.0,297.4997043609619,550.752197265625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,167.35,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,519.99072265625,545.4161987304688,531.99072265625,495.8329887390137,12.0,297.4997043609619,525.99072265625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,156.55,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,495.22930908203125,545.4161987304688,507.22930908203125,495.8329887390137,12.0,297.4997043609619,501.22930908203125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,132.14,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,470.4678039550781,545.4161987304688,482.4678039550781,495.8329887390137,12.0,297.4997043609619,476.4678039550781,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,107.89,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.58320999145508,445.706298828125,545.4161987304688,457.706298828125,495.8329887390137,12.0,297.4997043609619,451.706298828125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,83.95,150,1,0,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.583499908447266,247.61459350585938,111.5625,259.6145935058594,61.979000091552734,12.0,80.57299995422363,253.61459350585938,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.69,150,1,1,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,111.5625,247.61410522460938,247.91650390625,259.6141052246094,136.35400390625,12.0,179.739501953125,253.61410522460938,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,53.93,150,1,1,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,272.70849609375,74.28439331054688,334.6875,86.28439331054688,61.97900390625,12.0,303.697998046875,80.28439331054688,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.69,150,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,49.583499908447266,74.28439331054688,111.5625,86.28439331054688,61.979000091552734,12.0,80.57299995422363,80.28439331054688,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,7.69,150,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,334.6875,74.28389739990234,545.41650390625,86.28389739990234,210.72900390625,12.0,440.052001953125,80.28389739990234,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,90.98,150,3,3,0,,,0.0,0.0
cl01,6,underline-detector,UNDERLINE,0.95,111.5625,74.28389739990234,247.91650390625,86.28389739990234,136.35400390625,12.0,179.739501953125,80.28389739990234,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,53.93,150,3,3,0,,,0.0,0.0
cl01,7,underline-detector,UNDERLINE,0.95,49.721099853515625,693.3209838867188,545.5540771484375,705.3209838867188,495.8329772949219,12.0,297.63758850097656,699.3209838867188,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,19.83,67,0,0,0,,,0.0,0.0
cl01,7,underline-detector,UNDERLINE,0.95,49.58330154418945,643.798095703125,545.4163208007812,655.798095703125,495.8330192565918,12.0,297.49981117248535,649.798095703125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,65.61,67,1,0,0,,,0.0,0.0
cl01,7,underline-detector,UNDERLINE,0.95,49.58330154418945,594.2750854492188,545.4163208007812,606.2750854492188,495.8330192565918,12.0,297.49981117248535,600.2750854492188,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,114.56,67,1,0,0,,,0.0,0.0
cl01,7,underline-detector,UNDERLINE,0.95,49.58330154418945,544.752197265625,545.4163208007812,556.752197265625,495.8330192565918,12.0,297.49981117248535,550.752197265625,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,163.86,67,1,0,0,,,0.0,0.0
cl01,7,underline-detector,UNDERLINE,0.95,49.58330154418945,495.22930908203125,545.4163208007812,507.22930908203125,495.8330192565918,12.0,297.49981117248535,501.22930908203125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,213.26,67,1,0,0,,,0.0,0.0
cl01,7,underline-detector,UNDERLINE,0.95,49.58330154418945,445.706298828125,545.4163208007812,457.706298828125,495.8330192565918,12.0,297.49981117248535,451.706298828125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,262.7,67,1,0,0,,,0.0,0.0
cl01,7,underline-detector,UNDERLINE,0.95,49.58330154418945,396.18341064453125,545.4163208007812,408.18341064453125,495.8330192565918,12.0,297.49981117248535,402.18341064453125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,312.18,67,2,0,0,,,0.0,0.0
